"term","estimate","std.error","statistic","p.value","outcome","n_ASD","n_control","bonf_p.value","q.value"
"trt",0.659212702880021,0.171347243057076,3.84723262025545,0.000153465300557765,"gamma_coh_P4_F4",205,37,0.160524704383422,0.114918417921432
"trt",0.0841409326143919,0.0224160526800387,3.75360166285292,0.000219729288568704,"kurt_Pz",204,35,0.229836835842865,0.114918417921432
"trt",0.0942423141958107,0.0269539462030827,3.49641991142032,0.000554335536562042,"kurt_P3",226,38,0.579834971243896,0.182009435705257
"trt",0.638596562153695,0.186055662179987,3.43228770719123,0.000703798191250271,"gamma_coh_P4_F3",209,37,0.736172908047783,0.182009435705257
"trt",0.538773934622978,0.159855620654242,3.37037842284141,0.000875704494171765,"beta_coh_P4_F4",205,37,0.915986900903666,0.182009435705257
"trt",0.080129220009556,0.0241669337141279,3.31565522367915,0.00104403117995367,"kurt_C4",228,37,1,0.182009435705257
"trt",0.675207488684446,0.208782019805972,3.23403082943608,0.00137969838148631,"gamma_coh_P4_C3",224,38,1,0.206166358147811
"trt",0.542827711514152,0.175589575692885,3.09145750465042,0.00222507081518519,"beta_coh_P4_F3",209,37,1,0.290928009085464
"trt",0.0543896728175,0.0182555218314459,2.97935459307504,0.00316506191812341,"skew_F7",223,38,1,0.367850529595232
"trt",0.404811410519034,0.143701184783586,2.81703599819778,0.00525384461767455,"alpha_coh_P4_F4",205,37,1,0.462732627379845
"trt",0.519940184771496,0.186396780278535,2.78942685594967,0.00567385438510848,"beta_coh_P4_C3",224,38,1,0.462732627379845
"trt",0.552388746636649,0.198396815449143,2.78426216361445,0.00578027583002044,"beta_coh_P4_Fz",215,36,1,0.462732627379845
"trt",0.388277278807665,0.140553726921655,2.76248298292434,0.00618051690395144,"gamma_coh_P4_F7",209,35,1,0.462732627379845
"trt",0.0705557431326045,0.0255867562785479,2.75751026681561,0.00625410901356486,"kurt_O2",217,37,1,0.462732627379845
"trt",0.07259974457609,0.0266926921567703,2.71983598168744,0.0069769207365454,"kurt_O1",223,38,1,0.462732627379845
"trt",0.446349166849788,0.166656430651733,2.67825948932351,0.00790345068369404,"alpha_coh_P4_C4",213,35,1,0.462732627379845
"trt",0.591585340145086,0.22135453681015,2.672569302939,0.00802854173995839,"gamma_coh_P4_Fz",215,36,1,0.462732627379845
"trt",0.365061234349573,0.137369525109297,2.65751253095702,0.00840065824132763,"beta_coh_P4_F7",209,35,1,0.462732627379845
"trt",0.709622825447075,0.26841871922302,2.64371586117835,0.00877706312138241,"gamma_coh_Pz_Fz",194,35,1,0.462732627379845
"trt",0.584343784635381,0.221291098188002,2.64061134596088,0.00884766017934695,"delta_coh_Pz_T5",199,33,1,0.462732627379845
"trt",0.615572746089129,0.235613702151163,2.61263560000511,0.00952233074671718,"beta_coh_P4_T5",220,37,1,0.469638798787576
"trt",0.616653876692538,0.238190544946684,2.58890997050521,0.010185400023351,"gamma_coh_P4_T5",220,37,1,0.469638798787576
"trt",0.333739156690667,0.130502567561671,2.55733785875863,0.0111050650226131,"bp_gamma_P4",230,39,1,0.469638798787576
"trt",0.615080032652903,0.240163654862498,2.56108707624831,0.0111532627783337,"theta_coh_T4_F8",179,30,1,0.469638798787576
"trt",0.619312851647817,0.242457008343281,2.55432027261084,0.0112583665926064,"gamma_coh_Fz_O1",209,35,1,0.469638798787576
"trt",0.698486258201425,0.274823355991444,2.54158259468736,0.0116736221495956,"gamma_coh_C4_O1",208,33,1,0.469638798787576
"trt",0.577739757945037,0.230088669642379,2.51094397148284,0.0127048968942789,"delta_coh_C4_F4",206,36,1,0.487861719606168
"trt",0.413288526687903,0.164435941436176,2.51337100075726,0.0130593959359204,"beta_coh_Pz_Fp1",131,17,1,0.487861719606168
"trt",0.373981598445501,0.151266759235536,2.47233166318568,0.0141237251288537,"delta_coh_P4_F4",205,37,1,0.509428154647621
"trt",0.52239259428273,0.212490981800697,2.4584224227111,0.0146998888409677,"alpha_coh_Pz_T5",199,33,1,0.512536124255073
"trt",0.453018987788673,0.193631137459213,2.33959782364082,0.0201118052851683,"beta_coh_P4_C4",213,35,1,0.665402860794801
"trt",0.533094123641678,0.228594812396058,2.33204821252922,0.0205549891705319,"beta_coh_F7_O1",202,34,1,0.665402860794801
"trt",0.488173755112384,0.210103585123408,2.32349083822461,0.020992633275553,"gamma_coh_F4_Fz",207,36,1,0.665402860794801
"trt",0.547138047693166,0.238353311058102,2.29549170206322,0.0225980925616752,"gamma_coh_F7_O1",202,34,1,0.671395038524374
"trt",0.176535562735855,0.0770934456026862,2.28989068209067,0.0228384493352732,"bp_theta_F7",223,38,1,0.671395038524374
"trt",0.504378232721925,0.223007794206845,2.26170674668932,0.0246583967167191,"theta_coh_Pz_T5",199,33,1,0.671395038524374
"trt",0.541078937661504,0.23960995748455,2.25816549254383,0.0248944486060145,"beta_coh_Pz_Fz",194,35,1,0.671395038524374
"trt",0.398791393854737,0.17729520516941,2.24930726961105,0.025385277087041,"theta_coh_P4_C4",213,35,1,0.671395038524374
"trt",0.525000073240551,0.235299605488899,2.23119827230361,0.0266244481260186,"gamma_coh_F4_O1",201,35,1,0.671395038524374
"trt",0.555262408718966,0.251042290841418,2.21182816193197,0.0280829571433782,"delta_coh_T4_F8",179,30,1,0.671395038524374
"trt",0.458432284373879,0.209286449258394,2.19045373457447,0.029438073631203,"gamma_coh_P4_C4",213,35,1,0.671395038524374
"trt",0.330882962311584,0.151333104132782,2.18645460428315,0.0297692869106652,"alpha_coh_F8_P4",205,34,1,0.671395038524374
"trt",0.470378621812971,0.215954840036552,2.17813419571127,0.0304037392025522,"gamma_coh_O2_Fz",203,33,1,0.671395038524374
"trt",0.495682445719305,0.22798658856009,2.17417370403198,0.0307838840674505,"beta_coh_Pz_F3",185,34,1,0.671395038524374
"trt",0.0614299558021452,0.0283154886077232,2.16948245722272,0.0308994905875697,"kurt_C3",239,41,1,0.671395038524374
"trt",0.404566255357606,0.186317808351533,2.1713772770142,0.0309973229195935,"alpha_coh_Pz_O1",187,32,1,0.671395038524374
"trt",0.362179798045183,0.166988477948523,2.16889094681629,0.0310859178972519,"delta_coh_C4_O1",208,33,1,0.671395038524374
"trt",0.300294786158427,0.138729022856317,2.16461400776566,0.0313755861499328,"alpha_coh_P4_Fz",215,36,1,0.671395038524374
"trt",0.397061193767717,0.184514266678537,2.15192679089407,0.032384651760592,"delta_coh_P4_C4",213,35,1,0.671395038524374
"trt",0.258893514924088,0.120056614019729,2.15642859027778,0.0327107011960797,"alpha_coh_Pz_Fp1",131,17,1,0.671395038524374
